length,site,date
9.22,brindle,27/2/2020
11.81,brindle,27/2/2020
12.5,brindle,27/2/2020
19.46,brindle,27/2/2020
12.36,brindle,27/2/2020
9.01,brindle,27/2/2020
11.61,brindle,27/2/2020
9.83,brindle,27/2/2020
10.52,brindle,27/2/2020
14.34,brindle,27/2/2020
14.75,brindle,27/2/2020
8.95,brindle,27/2/2020
18.37,brindle,27/2/2020
9.49,brindle,27/2/2020
13.52,brindle,27/2/2020
16.8,brindle,27/2/2020
9.29,brindle,27/2/2020
8.74,brindle,27/2/2020
9.83,brindle,27/2/2020
17.41,tuntable,3/3/2020
18.59,tuntable,3/3/2020
18.38,tuntable,3/3/2020
19.22,tuntable,3/3/2020
16.72,tuntable,3/3/2020
19.28,tuntable,3/3/2020
17.07,tuntable,3/3/2020
19.01,tuntable,3/3/2020
21.64,tuntable,3/3/2020
9.26,brindle,9/4/2020
13.71,brindle,9/4/2020
8.66,brindle,9/4/2020
10.47,brindle,9/4/2020
9.64,brindle,9/4/2020
8.74,brindle,9/4/2020
10.47,brindle,9/4/2020
9.72,brindle,9/4/2020
9.79,brindle,9/4/2020
10.09,brindle,9/4/2020
9.94,brindle,9/4/2020
10.47,brindle,9/4/2020
9.42,brindle,9/4/2020
9.79,brindle,9/4/2020
9.94,brindle,9/4/2020
10.54,brindle,9/4/2020
10.02,brindle,9/4/2020
9.42,brindle,9/4/2020
10.02,brindle,9/4/2020
9.49,brindle,9/4/2020
10.39,brindle,9/4/2020
16.87,brindle,9/4/2020
9.94,brindle,9/4/2020
10.32,brindle,9/4/2020
11.22,brindle,9/4/2020
10.47,brindle,9/4/2020
10.17,brindle,9/4/2020
9.42,brindle,9/4/2020
9.26,brindle,9/4/2020
13.26,brindle,9/4/2020
10.39,brindle,9/4/2020
10.09,brindle,9/4/2020
10.54,brindle,9/4/2020
8.96,brindle,9/4/2020
9.04,brindle,9/4/2020
10.09,brindle,9/4/2020
9.19,brindle,9/4/2020
10.17,brindle,9/4/2020
8.51,brindle,9/4/2020
10.02,brindle,9/4/2020
10.92,brindle,9/4/2020
8.44,brindle,9/4/2020
9.42,brindle,9/4/2020
10.09,brindle,9/4/2020
9.04,brindle,9/4/2020
8.29,brindle,9/4/2020
8.89,brindle,9/4/2020
11.52,brindle,9/4/2020
8.74,brindle,9/4/2020
16.57,brindle,9/4/2020
9.57,brindle,9/4/2020
9.94,brindle,9/4/2020
13.48,brindle,9/4/2020
10.09,brindle,9/4/2020
13.33,brindle,9/4/2020
10.02,brindle,9/4/2020
10.32,brindle,9/4/2020
9.79,brindle,9/4/2020
9.04,brindle,9/4/2020
8.59,brindle,9/4/2020
9.57,brindle,9/4/2020
11,brindle,9/4/2020
10.02,brindle,9/4/2020
10.32,brindle,9/4/2020
10.09,brindle,9/4/2020
14.84,brindle,9/4/2020
10.24,brindle,9/4/2020
11.45,brindle,9/4/2020
9.34,brindle,9/4/2020
13.03,brindle,9/4/2020
8.36,brindle,9/4/2020
8.13,brindle,9/4/2020
10.92,brindle,9/4/2020
10.85,brindle,9/4/2020
8.29,brindle,9/4/2020
7,brindle,9/4/2020
9.94,brindle,9/4/2020
9.34,brindle,9/4/2020
9.87,brindle,9/4/2020
8.13,brindle,9/4/2020
9.42,brindle,9/4/2020
8.13,brindle,9/4/2020
7.38,brindle,9/4/2020
8.81,brindle,9/4/2020
8.51,brindle,9/4/2020
8.89,brindle,9/4/2020
10.39,brindle,9/4/2020
17.62,brindle,9/4/2020
8.74,brindle,9/4/2020
15.14,brindle,9/4/2020
9.11,brindle,9/4/2020
11.15,brindle,9/4/2020
8.44,brindle,9/4/2020
8.96,brindle,9/4/2020
10.32,brindle,9/4/2020
8.74,brindle,9/4/2020
10.47,brindle,9/4/2020
11.37,brindle,9/4/2020
9.87,brindle,9/4/2020
8.96,brindle,9/4/2020
9.87,brindle,9/4/2020
9.79,brindle,9/4/2020
9.26,brindle,9/4/2020
9.79,brindle,9/4/2020
10.02,brindle,9/4/2020
10.24,brindle,9/4/2020
9.19,brindle,9/4/2020
8.66,brindle,9/4/2020
9.64,brindle,9/4/2020
10.39,brindle,9/4/2020
12.2,brindle,9/4/2020
8.74,brindle,9/4/2020
9.72,brindle,9/4/2020
9.79,brindle,9/4/2020
13.63,brindle,9/4/2020
8.81,brindle,9/4/2020
11.45,brindle,9/4/2020
17.02,brindle,9/4/2020
10.85,brindle,9/4/2020
9.19,brindle,9/4/2020
10.09,brindle,9/4/2020
9.94,brindle,9/4/2020
13.03,brindle,9/4/2020
7.46,brindle,9/4/2020
10.09,brindle,9/4/2020
10.17,brindle,9/4/2020
9.26,brindle,9/4/2020
10.47,brindle,9/4/2020
9.49,brindle,9/4/2020
8.66,brindle,9/4/2020
13.11,brindle,9/4/2020
9.42,brindle,9/4/2020
9.72,brindle,9/4/2020
9.57,brindle,9/4/2020
10.17,brindle,9/4/2020
9.57,brindle,9/4/2020
10.24,brindle,9/4/2020
9.49,brindle,9/4/2020
10.17,brindle,9/4/2020
9.57,brindle,9/4/2020
9.87,brindle,9/4/2020
13.03,brindle,9/4/2020
8.59,brindle,9/4/2020
9.34,brindle,9/4/2020
10.32,brindle,9/4/2020
10.62,brindle,9/4/2020
11.15,brindle,9/4/2020
14.69,brindle,9/4/2020
10.39,brindle,9/4/2020
8.74,brindle,9/4/2020
9.04,brindle,9/4/2020
14.46,brindle,9/4/2020
14.52,brindle,9/4/2020
14,brindle,9/4/2020
14.59,brindle,9/4/2020
9.44,brindle,9/4/2020
7.36,brindle,9/4/2020
8.6,brindle,9/4/2020
13.09,brindle,9/4/2020
15.11,brindle,9/4/2020
14.85,brindle,9/4/2020
8.01,brindle,9/4/2020
17.13,brindle,9/4/2020
10.48,brindle,9/4/2020
9.18,brindle,9/4/2020
11.33,brindle,9/4/2020
13.81,brindle,9/4/2020
14.72,brindle,9/4/2020
6.71,brindle,9/4/2020
12.83,brindle,9/4/2020
10.35,brindle,9/4/2020
9.51,brindle,9/4/2020
11.79,brindle,9/4/2020
10.48,brindle,9/4/2020
14.85,brindle,9/4/2020
15.63,brindle,9/4/2020
10.94,brindle,9/4/2020
9.64,brindle,9/4/2020
10.42,brindle,9/4/2020
9.64,brindle,9/4/2020
10.09,brindle,9/4/2020
9.51,brindle,9/4/2020
9.9,brindle,9/4/2020
9.9,brindle,9/4/2020
